,left_ax
24095,-0.46409047
24096,-0.42545137
24097,-0.39043143
24098,-0.35434765
24099,-0.32220316
24100,-0.29443514
24101,-0.27088833
24102,-0.25187337
24103,-0.24060522
24104,-0.23199104
24105,-0.22665305
24106,-0.22496295
24107,-0.22692454
24108,-0.2321574
24109,-0.23346531
24110,-0.24050322
24111,-0.2544479
24112,-0.27174592
24113,-0.2873422
24114,-0.30223227
24115,-0.31712374
24116,-0.3345518
24117,-0.35718673
24118,-0.38448256
24119,-0.41333452
24120,-0.45237556
24121,-0.4914167
24122,-0.52840286
24123,-0.5652478
24124,-0.604168
24125,-0.645624
24126,-0.6922315
24127,-0.7283429
24128,-0.7548371
24129,-0.7725847
24130,-0.7822640000000001
24131,-0.7822640000000001
24132,-0.77912676
24133,-0.7817565
24134,-0.78756213
24135,-0.7917054
24136,-0.7901118
24137,-0.77880776
24138,-0.763073
24139,-0.7423887
24140,-0.7171705
24141,-0.68870705
24142,-0.6580338000000001
24143,-0.6290534000000001
24144,-0.59912324
24145,-0.57051927
24146,-0.5463511999999999
24147,-0.5284251999999999
24148,-0.51503855
24149,-0.5094021
24150,-0.5107965
24151,-0.51779735
24152,-0.5288333000000001
24153,-0.5451663
24154,-0.55886936
24155,-0.5724931
24156,-0.58554035
24157,-0.5969736
24158,-0.6077292
24159,-0.6221694999999999
24160,-0.62965935
24161,-0.6349876999999999
24162,-0.63917047
24163,-0.63677037
24164,-0.6339818
24165,-0.63119304
24166,-0.6238234
24167,-0.6123708000000001
24168,-0.6004189999999999
24169,-0.5940451
24170,-0.58659595
24171,-0.5755316999999999
24172,-0.5622455
24173,-0.548661
24174,-0.536312
24175,-0.52584875
24176,-0.51665103
24177,-0.5089532999999999
24178,-0.50006944
24179,-0.48753345
24180,-0.47465253
24181,-0.454226
24182,-0.43767613
24183,-0.42051667
24184,-0.40119594
24185,-0.38254613
24186,-0.37087557
24187,-0.36695102
24188,-0.36520007
24189,-0.36489823
24190,-0.3667544
24191,-0.37208706
24192,-0.3813442
24193,-0.39256448
24194,-0.40375254
24195,-0.41461825
24196,-0.42858443
24197,-0.45716387
24198,-0.48302507
24199,-0.5181374
24200,-0.5479387
24201,-0.5601425
24202,-0.5520185000000001
24203,-0.5528234000000001
24204,-0.5778985
24205,-0.58823645
24206,-0.5786071999999999
24207,-0.5657014
24208,-0.5821053
24209,-0.6195364000000001
24210,-0.6438173
24211,-0.6499558000000001
24212,-0.64723384
24213,-0.64578503
24214,-0.64658993
24215,-0.6322926
24216,-0.61374784
24217,-0.58678097
24218,-0.55192894
24219,-0.5121147
24220,-0.46743882
24221,-0.42276296
24222,-0.37321448
24223,-0.3178771
24224,-0.260563
24225,-0.20813891
24226,-0.15943927
24227,-0.12219859
24228,-0.095412426
24229,-0.07468348
24230,-0.056582604
24231,-0.04130511
24232,-0.027218118
24233,-0.008943919
24234,0.010137294
24235,0.028599726
24236,0.046964888
24237,0.0686991
24238,0.08775412
24239,0.09865617
24240,0.11304569
24241,0.13606335
24242,0.16459635
24243,0.1855251
24244,0.22967285
24245,0.26317918
24246,0.2968447
24247,0.33699074
24248,0.3728069000000001
24249,0.3981635
24250,0.42219085
24251,0.45012587
24252,0.47878295
24253,0.5062785
24254,0.5412939999999999
24255,0.5712047
24256,0.6025229999999999
24257,0.61970997
24258,0.62765884
24259,0.6419951
24260,0.66372925
24261,0.68803656
24262,0.7269543
24263,0.7788928
24264,0.8308665999999999
24265,0.8616316999999999
24266,0.85881466
24267,0.8300011999999999
24268,0.79120463
24269,0.8754301
24270,1.1564323
24271,1.53476
24272,1.4758021
24273,1.520583
24274,1.2446697
24275,1.1451397
24276,1.8715641
24277,1.3695728
24278,-0.17218636
24279,-0.23708932
24280,-0.037430167
24281,-0.5382738
24282,-0.53588367
24283,-0.3874664
24284,0.23378351
24285,0.023761569
24286,-0.6186799
24287,-0.24596806
24288,-0.6176807
24289,-1.273853
24290,-0.49472746
24291,0.47008425
24292,0.31469846
24293,-0.13191451
24294,-0.63826823
24295,-0.83467454
24296,-0.76775676
24297,-0.47817996
24298,0.013742878
24299,0.44431952
24300,0.6873304
24301,0.7946569
24302,0.7476931
24303,0.5168668
24304,0.09734544
24305,-0.10880045
24306,-0.1922016
24307,-0.18390258
24308,-0.06548394
24309,0.22462033
24310,0.34691527
24311,0.40514714
24312,0.3507133
24313,0.26386726
24314,0.26247847
24315,0.35170066
24316,0.22152252
24317,0.086304404
24318,0.011522582
24319,-0.007724168
24320,-0.050752
24321,-0.12722422
24322,-0.15583315
24323,-0.16852053
24324,-0.1620618999999999
24325,-0.12952094
24326,-0.11784911
24327,-0.14805815
24328,-0.17201678
24329,-0.15396895
24330,-0.10865246
24331,-0.0891816
24332,-0.11011084
24333,-0.123998165
24334,-0.1198115
24335,-0.13735415
24336,-0.1902777
24337,-0.23699975
24338,-0.26919445
24339,-0.28667575
24340,-0.29834887
24341,-0.28220588
24342,-0.22803731
24343,-0.18980207
24344,-0.18953018
24345,-0.1753419
24346,-0.17397967
24347,-0.19617522
24348,-0.2293297
24349,-0.21604769
24350,-0.20349059
24351,-0.19848526
24352,-0.20700741
24353,-0.21753661
24354,-0.20280658
24355,-0.19878224
24356,-0.34778333
24357,-0.4080075
24358,-0.33670536
24359,-0.13421221
24360,0.24895388
